Fecha|Nombre|Puntuación|Intentos|Tiempo(s)
2025-04-14 11:52:21|Alberto|853|4|26
2025-04-14 11:53:17|Pacopaco|879|2|14
2025-04-14 09:53:17|ESTOESUNINPUTMANUAL|999999|2|14
2025-04-14 11:55:53|Pacopaco|1293|2|170
2025-04-14 11:56:03|Pacopaco|1541|2|180
2025-04-14 11:56:06|Pacopaco|1776|2|183
2025-04-14 11:56:56|Azahara|880|3|12
2025-04-14 12:26:58|Babal|882|3|13
2025-04-14 12:27:07|Mario|1445|3|22
2025-04-14 12:27:15|Mario|1991|3|30
2025-04-14 12:33:16|Imaloser|1747|29|78
2025-04-14 12:35:31|Lalando|882|2|14
